source,claim_id,claim_short_id,police_report_no,policy_number,incident_date,location,vehicle_registration,injuries_reported,estimated_damage_cost,path
acord,CLM-2025-01-0014,CLM-2025-0014,PR-10014,POL-400014,2025-10-09,Delhi,MH 12 AB 1014,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0014_SAFE_acord.pdf
acord,CLM-2025-01-0015,CLM-2025-0015,PR-10015,POL-400015,2025-10-10,Pune,MH 12 AB 1015,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0015_SAFE_acord.pdf
acord,CLM-2025-01-0016,CLM-2025-0016,PR-10016,POL-400016,2025-10-11,Chennai,MH 12 AB 1016,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0016_SAFE_acord.pdf
acord,CLM-2025-01-0017,CLM-2025-0017,PR-10017,POL-400017,2025-10-12,Delhi,MH 12 AB 1017,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0017_SAFE_acord.pdf
acord,CLM-2025-01-0018,CLM-2025-0018,PR-10018,POL-400018,2025-10-13,Delhi,MH 12 AB 1018,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0018_SAFE_acord.pdf
acord,CLM-2025-01-0019,CLM-2025-0019,PR-10019,POL-400019,2025-10-14,Delhi,MH 12 AB 1019,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0019_SAFE_acord.pdf
acord,CLM-2025-01-0020,CLM-2025-0020,PR-10020,POL-400020,2025-10-05,Mumbai,MH 12 AB 1020,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0020_SAFE_acord.pdf
acord,CLM-2025-01-0021,CLM-2025-0021,PR-10021,POL-400021,2025-10-06,Mumbai,MH 12 AB 1021,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0021_SAFE_acord.pdf
acord,CLM-2025-01-0022,CLM-2025-0022,PR-10022,POL-400022,2025-10-07,Pune,MH 12 AB 1022,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0022_SAFE_acord.pdf
acord,CLM-2025-01-0023,CLM-2025-0023,PR-10023,POL-400023,2025-10-08,Pune,MH 12 AB 1023,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0023_SAFE_acord.pdf
acord,CLM-2025-01-0024,CLM-2025-0024,PR-10024,POL-400024,2025-10-09,Delhi,MH 12 AB 1024,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0024_SAFE_acord.pdf
acord,CLM-2025-01-0025,CLM-2025-0025,PR-10025,POL-400025,2025-10-10,Pune,MH 12 AB 1025,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0025_SAFE_acord.pdf
acord,CLM-2025-01-0026,CLM-2025-0026,PR-10026,POL-400026,2025-10-11,Mumbai,MH 12 AB 1026,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0026_SAFE_acord.pdf
acord,CLM-2025-01-0027,CLM-2025-0027,PR-10027,POL-400027,2025-10-12,Hyderabad,MH 12 AB 1027,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0027_SAFE_acord.pdf
acord,CLM-2025-01-0028,CLM-2025-0028,PR-10028,POL-400028,2025-10-13,Hyderabad,MH 12 AB 1028,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0028_SAFE_acord.pdf
acord,CLM-2025-01-0029,CLM-2025-0029,PR-10029,POL-400029,2025-10-14,Hyderabad,MH 12 AB 1029,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0029_SAFE_acord.pdf
acord,CLM-2025-01-0030,CLM-2025-0030,PR-10030,POL-400030,2025-10-05,Pune,MH 12 AB 1030,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0030_SAFE_acord.pdf
acord,CLM-2025-01-0031,CLM-2025-0031,PR-10031,POL-400031,2025-10-06,Chennai,MH 12 AB 1031,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0031_SAFE_acord.pdf
acord,CLM-2025-01-0032,CLM-2025-0032,PR-10032,POL-400032,2025-10-07,Mumbai,MH 12 AB 1032,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0032_SAFE_acord.pdf
acord,CLM-2025-01-0033,CLM-2025-0033,PR-10033,POL-400033,2025-10-08,Chennai,MH 12 AB 1033,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0033_SAFE_acord.pdf
acord,CLM-2025-01-0034,CLM-2025-0034,PR-10034,POL-400034,2025-10-09,Pune,MH 12 AB 1034,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0034_SAFE_acord.pdf
acord,CLM-2025-01-0035,CLM-2025-0035,PR-10035,POL-400035,2025-10-10,Bengaluru,MH 12 AB 1035,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0035_SAFE_acord.pdf
acord,CLM-2025-01-0036,CLM-2025-0036,PR-10036,POL-400036,2025-10-11,Kolkata,MH 12 AB 1036,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0036_SAFE_acord.pdf
acord,CLM-2025-01-0037,CLM-2025-0037,PR-10037,POL-400037,2025-10-12,Kolkata,MH 12 AB 1037,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0037_SAFE_acord.pdf
acord,CLM-2025-01-0038,CLM-2025-0038,PR-10038,POL-400038,2025-10-13,Delhi,MH 12 AB 1038,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0038_SAFE_acord.pdf
acord,CLM-2025-01-0039,CLM-2025-0039,PR-10039,POL-400039,2025-10-14,Kolkata,MH 12 AB 1039,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0039_SAFE_acord.pdf
acord,CLM-2025-01-0040,CLM-2025-0040,PR-10040,POL-400040,2025-10-05,Kolkata,MH 12 AB 1040,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0040_SAFE_acord.pdf
acord,CLM-2025-01-0041,CLM-2025-0041,PR-10041,POL-400041,2025-10-06,Mumbai,MH 12 AB 1041,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0041_SAFE_acord.pdf
acord,CLM-2025-01-0042,CLM-2025-0042,PR-10042,POL-400042,2025-10-07,Hyderabad,MH 12 AB 1042,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0042_SAFE_acord.pdf
acord,CLM-2025-01-0043,CLM-2025-0043,PR-10043,POL-400043,2025-10-08,Chennai,MH 12 AB 1043,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0043_SAFE_acord.pdf
acord,CLM-2025-01-0044,CLM-2025-0044,PR-10044,POL-400044,2025-10-09,Bengaluru,MH 12 AB 1044,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0044_SAFE_acord.pdf
acord,CLM-2025-01-0045,CLM-2025-0045,PR-10045,POL-400045,2025-10-10,Bengaluru,MH 12 AB 1045,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0045_SAFE_acord.pdf
acord,CLM-2025-01-0046,CLM-2025-0046,PR-10046,POL-400046,2025-10-11,Mumbai,MH 12 AB 1046,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0046_SAFE_acord.pdf
acord,CLM-2025-01-0047,CLM-2025-0047,PR-10047,POL-400047,2025-10-12,Mumbai,MH 12 AB 1047,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0047_SAFE_acord.pdf
acord,CLM-2025-01-0048,CLM-2025-0048,PR-10048,POL-400048,2025-10-13,Kolkata,MH 12 AB 1048,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0048_SAFE_acord.pdf
acord,CLM-2025-01-0049,CLM-2025-0049,PR-10049,POL-400049,2025-10-14,Bengaluru,MH 12 AB 1049,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0049_SAFE_acord.pdf
acord,CLM-2025-01-0050,CLM-2025-0050,PR-10050,POL-400050,2025-10-05,Delhi,MH 12 AB 1050,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0050_SAFE_acord.pdf
acord,CLM-2025-01-0051,CLM-2025-0051,PR-10051,POL-400051,2025-10-06,Delhi,MH 12 AB 1051,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0051_SAFE_acord.pdf
acord,CLM-2025-01-0052,CLM-2025-0052,PR-10052,POL-400052,2025-10-07,Chennai,MH 12 AB 1052,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0052_SAFE_acord.pdf
acord,CLM-2025-01-0053,CLM-2025-0053,PR-10053,POL-400053,2025-10-08,Delhi,MH 12 AB 1053,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0053_SAFE_acord.pdf
acord,CLM-2025-01-0054,CLM-2025-0054,PR-10054,POL-400054,2025-10-09,Bengaluru,MH 12 AB 1054,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0054_SAFE_acord.pdf
acord,CLM-2025-01-0055,CLM-2025-0055,PR-10055,POL-400055,2025-10-10,Kolkata,MH 12 AB 1055,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0055_SAFE_acord.pdf
acord,CLM-2025-01-0056,CLM-2025-0056,PR-10056,POL-400056,2025-10-11,Bengaluru,MH 12 AB 1056,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0056_SAFE_acord.pdf
acord,CLM-2025-01-0057,CLM-2025-0057,PR-10057,POL-400057,2025-10-12,Pune,MH 12 AB 1057,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0057_SAFE_acord.pdf
acord,CLM-2025-01-0058,CLM-2025-0058,PR-10058,POL-400058,2025-10-13,Bengaluru,MH 12 AB 1058,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0058_SAFE_acord.pdf
acord,CLM-2025-01-0059,CLM-2025-0059,PR-10059,POL-400059,2025-10-14,Kolkata,MH 12 AB 1059,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0059_SAFE_acord.pdf
acord,CLM-2025-01-0060,CLM-2025-0060,PR-10060,POL-400060,2025-10-05,Delhi,MH 12 AB 1060,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0060_SAFE_acord.pdf
acord,CLM-2025-01-0061,CLM-2025-0061,PR-10061,POL-400061,2025-10-06,Hyderabad,MH 12 AB 1061,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0061_SAFE_acord.pdf
acord,CLM-2025-01-0062,CLM-2025-0062,PR-10062,POL-400062,2025-10-07,Chennai,MH 12 AB 1062,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0062_SAFE_acord.pdf
acord,CLM-2025-01-0063,CLM-2025-0063,PR-10063,POL-400063,2025-10-08,Pune,MH 12 AB 1063,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0063_SAFE_acord.pdf
acord,CLM-2025-01-0064,CLM-2025-0064,PR-10064,POL-400064,2025-10-09,Delhi,MH 12 AB 1064,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0064_SAFE_acord.pdf
acord,CLM-2025-01-0065,CLM-2025-0065,PR-10065,POL-400065,2025-10-10,Chennai,MH 12 AB 1065,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0065_SAFE_acord.pdf
acord,CLM-2025-01-0066,CLM-2025-0066,PR-10066,POL-400066,2025-10-11,Delhi,MH 12 AB 1066,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0066_SAFE_acord.pdf
acord,CLM-2025-01-0067,CLM-2025-0067,PR-10067,POL-400067,2025-10-12,Pune,MH 12 AB 1067,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0067_SAFE_acord.pdf
acord,CLM-2025-01-0068,CLM-2025-0068,PR-10068,POL-400068,2025-10-13,Bengaluru,MH 12 AB 1068,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0068_SAFE_acord.pdf
acord,CLM-2025-01-0069,CLM-2025-0069,PR-10069,POL-400069,2025-10-14,Kolkata,MH 12 AB 1069,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0069_SAFE_acord.pdf
acord,CLM-2025-01-0070,CLM-2025-0070,PR-10070,POL-400070,2025-10-05,Hyderabad,MH 12 AB 1070,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0070_SAFE_acord.pdf
acord,CLM-2025-01-0071,CLM-2025-0071,PR-10071,POL-400071,2025-10-06,Pune,MH 12 AB 1071,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0071_SAFE_acord.pdf
acord,CLM-2025-01-0072,CLM-2025-0072,PR-10072,POL-400072,2025-10-07,Kolkata,MH 12 AB 1072,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0072_SAFE_acord.pdf
acord,CLM-2025-01-0073,CLM-2025-0073,PR-10073,POL-400073,2025-10-08,Bengaluru,MH 12 AB 1073,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0073_SAFE_acord.pdf
acord,CLM-2025-01-0074,CLM-2025-0074,PR-10074,POL-400074,2025-10-09,Pune,MH 12 AB 1074,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0074_SAFE_acord.pdf
acord,CLM-2025-01-0075,CLM-2025-0075,PR-10075,POL-400075,2025-10-10,Mumbai,MH 12 AB 1075,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0075_SAFE_acord.pdf
acord,CLM-2025-01-0076,CLM-2025-0076,PR-10076,POL-400076,2025-10-11,Hyderabad,MH 12 AB 1076,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0076_SAFE_acord.pdf
acord,CLM-2025-01-0077,CLM-2025-0077,PR-10077,POL-400077,2025-10-12,Delhi,MH 12 AB 1077,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0077_SAFE_acord.pdf
acord,CLM-2025-01-0078,CLM-2025-0078,PR-10078,POL-400078,2025-10-13,Delhi,MH 12 AB 1078,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0078_SAFE_acord.pdf
acord,CLM-2025-01-0079,CLM-2025-0079,PR-10079,POL-400079,2025-10-14,Hyderabad,MH 12 AB 1079,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0079_SAFE_acord.pdf
acord,CLM-2025-01-0080,CLM-2025-0080,PR-10080,POL-400080,2025-10-05,Mumbai,MH 12 AB 1080,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0080_SAFE_acord.pdf
acord,CLM-2025-01-0081,CLM-2025-0081,PR-10081,POL-400081,2025-10-06,Kolkata,MH 12 AB 1081,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0081_RISK_acord.pdf
acord,CLM-2025-01-0082,CLM-2025-0082,PR-10082,POL-400082,2025-10-07,Kolkata,MH 12 AB 1082,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0082_RISK_acord.pdf
acord,CLM-2025-01-0083,CLM-2025-0083,PR-10083,POL-400083,2025-10-08,Chennai,MH 12 AB 1083,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0083_RISK_acord.pdf
acord,CLM-2025-01-0084,CLM-2025-0084,PR-10084,POL-400084,2025-10-09,Hyderabad,MH 12 AB 1084,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0084_RISK_acord.pdf
acord,CLM-2025-01-0085,CLM-2025-0085,PR-10085,POL-400085,2025-10-10,Bengaluru,MH 12 AB 1085,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0085_RISK_acord.pdf
acord,CLM-2025-01-0086,CLM-2025-0086,PR-10086,POL-400086,2025-10-11,Hyderabad,MH 12 AB 1086,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0086_RISK_acord.pdf
acord,CLM-2025-01-0087,CLM-2025-0087,PR-10087,POL-400087,2025-10-12,Pune,MH 12 AB 1087,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0087_RISK_acord.pdf
acord,CLM-2025-01-0088,CLM-2025-0088,PR-10088,POL-400088,2025-10-13,Pune,MH 12 AB 1088,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0088_RISK_acord.pdf
acord,CLM-2025-01-0089,CLM-2025-0089,PR-10089,POL-400089,2025-10-14,Mumbai,MH 12 AB 1089,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0089_RISK_acord.pdf
acord,CLM-2025-01-0090,CLM-2025-0090,PR-10090,POL-400090,2025-10-05,Bengaluru,MH 12 AB 1090,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0090_RISK_acord.pdf
acord,CLM-2025-01-0091,CLM-2025-0091,PR-10091,POL-400091,2025-10-06,Mumbai,MH 12 AB 1091,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0091_RISK_acord.pdf
acord,CLM-2025-01-0092,CLM-2025-0092,PR-10092,POL-400092,2025-10-07,Kolkata,MH 12 AB 1092,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0092_RISK_acord.pdf
acord,CLM-2025-01-0093,CLM-2025-0093,PR-10093,POL-400093,2025-10-08,Kolkata,MH 12 AB 1093,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0093_RISK_acord.pdf
acord,CLM-2025-01-0094,CLM-2025-0094,PR-10094,POL-400094,2025-10-09,Chennai,MH 12 AB 1094,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0094_RISK_acord.pdf
acord,CLM-2025-01-0095,CLM-2025-0095,PR-10095,POL-400095,2025-10-10,Mumbai,MH 12 AB 1095,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0095_RISK_acord.pdf
acord,CLM-2025-01-0096,CLM-2025-0096,PR-10096,POL-400096,2025-10-11,Mumbai,MH 12 AB 1096,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0096_RISK_acord.pdf
acord,CLM-2025-01-0097,CLM-2025-0097,PR-10097,POL-400097,2025-10-12,Chennai,MH 12 AB 1097,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0097_RISK_acord.pdf
acord,CLM-2025-01-0098,CLM-2025-0098,PR-10098,POL-400098,2025-10-13,Mumbai,MH 12 AB 1098,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0098_RISK_acord.pdf
acord,CLM-2025-01-0099,CLM-2025-0099,PR-10099,POL-400099,2025-10-14,Mumbai,MH 12 AB 1099,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0099_RISK_acord.pdf
acord,CLM-2025-01-0100,CLM-2025-0100,PR-10100,POL-400100,2025-10-05,Pune,MH 12 AB 1100,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0100_RISK_acord.pdf
