category,claim_short_id,acord_path,police_path,loss_path,damage_difference,injury_mismatch,date_difference_days,location_match,vehicle_match,fraud_inconsistency_score,severity_level,complexity_score
property,CLM-2025-0011,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0011-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10011-PRO_CLM-2025-0011-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0011-PRO_SAFE_loss.pdf,0.0452,0,1,1.0,0.0,0.229,Low,2.0
property,CLM-2025-0012,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0012-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10012-PRO_CLM-2025-0012-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0012-PRO_SAFE_loss.pdf,0.0094,0,1,1.0,0.0,0.2219,Low,2.0
property,CLM-2025-0013,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0013-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10013-PRO_CLM-2025-0013-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0013-PRO_SAFE_loss.pdf,0.0039,0,0,1.0,0.0,0.2008,Low,2.0
property,CLM-2025-0014,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0014-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10014-PRO_CLM-2025-0014-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0014-PRO_SAFE_loss.pdf,0.0267,0,2,1.0,0.0,0.2453,Low,2.0
property,CLM-2025-0015,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0015-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10015-PRO_CLM-2025-0015-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0015-PRO_SAFE_loss.pdf,0.0227,0,2,1.0,0.0,0.2445,Low,2.0
property,CLM-2025-0016,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0016-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10016-PRO_CLM-2025-0016-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0016-PRO_SAFE_loss.pdf,0.0333,0,2,1.0,0.0,0.2467,Low,2.0
property,CLM-2025-0017,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0017-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10017-PRO_CLM-2025-0017-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0017-PRO_SAFE_loss.pdf,0.0374,0,1,1.0,0.0,0.2275,Low,2.0
property,CLM-2025-0018,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0018-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10018-PRO_CLM-2025-0018-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0018-PRO_SAFE_loss.pdf,0.0341,0,2,1.0,0.0,0.2468,Low,2.0
property,CLM-2025-0019,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0019-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10019-PRO_CLM-2025-0019-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0019-PRO_SAFE_loss.pdf,0.0456,0,0,1.0,0.0,0.2091,Low,2.0
property,CLM-2025-0020,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0020-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10020-PRO_CLM-2025-0020-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0020-PRO_SAFE_loss.pdf,0.0147,0,2,1.0,0.0,0.2429,Low,2.0
property,CLM-2025-0021,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0021-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10021-PRO_CLM-2025-0021-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0021-PRO_SAFE_loss.pdf,0.0085,0,1,1.0,0.0,0.2217,Low,2.0
property,CLM-2025-0022,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0022-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10022-PRO_CLM-2025-0022-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0022-PRO_SAFE_loss.pdf,0.0411,0,0,1.0,0.0,0.2082,Low,2.0
property,CLM-2025-0023,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0023-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10023-PRO_CLM-2025-0023-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0023-PRO_SAFE_loss.pdf,0.0486,0,1,1.0,0.0,0.2297,Low,2.0
property,CLM-2025-0024,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0024-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10024-PRO_CLM-2025-0024-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0024-PRO_SAFE_loss.pdf,0.0322,0,2,1.0,0.0,0.2464,Low,2.0
property,CLM-2025-0025,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0025-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10025-PRO_CLM-2025-0025-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0025-PRO_SAFE_loss.pdf,0.0271,0,0,1.0,0.0,0.2054,Low,2.0
property,CLM-2025-0026,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0026-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10026-PRO_CLM-2025-0026-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0026-PRO_SAFE_loss.pdf,0.0343,0,0,1.0,0.0,0.2069,Low,2.0
property,CLM-2025-0027,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0027-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10027-PRO_CLM-2025-0027-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0027-PRO_SAFE_loss.pdf,0.0128,0,2,1.0,0.0,0.2426,Low,2.0
property,CLM-2025-0028,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0028-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10028-PRO_CLM-2025-0028-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0028-PRO_SAFE_loss.pdf,0.0316,0,0,1.0,0.0,0.2063,Low,2.0
property,CLM-2025-0029,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0029-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10029-PRO_CLM-2025-0029-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0029-PRO_SAFE_loss.pdf,0.0086,0,2,1.0,0.0,0.2417,Low,2.0
property,CLM-2025-0030,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0030-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10030-PRO_CLM-2025-0030-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0030-PRO_SAFE_loss.pdf,0.0397,0,0,1.0,0.0,0.2079,Low,2.0
property,CLM-2025-0031,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0031-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10031-PRO_CLM-2025-0031-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0031-PRO_SAFE_loss.pdf,0.0295,0,1,1.0,0.0,0.2259,Low,2.0
property,CLM-2025-0032,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0032-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10032-PRO_CLM-2025-0032-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0032-PRO_SAFE_loss.pdf,0.0039,0,2,1.0,0.0,0.2408,Low,2.0
property,CLM-2025-0033,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0033-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10033-PRO_CLM-2025-0033-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0033-PRO_SAFE_loss.pdf,0.0332,0,1,1.0,0.0,0.2266,Low,2.0
property,CLM-2025-0034,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0034-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10034-PRO_CLM-2025-0034-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0034-PRO_SAFE_loss.pdf,0.0393,0,2,1.0,0.0,0.2479,Low,2.0
property,CLM-2025-0035,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0035-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10035-PRO_CLM-2025-0035-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0035-PRO_SAFE_loss.pdf,0.011,0,1,1.0,0.0,0.2222,Low,2.0
property,CLM-2025-0036,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0036-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10036-PRO_CLM-2025-0036-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0036-PRO_SAFE_loss.pdf,0.0259,0,2,1.0,0.0,0.2452,Low,2.0
property,CLM-2025-0037,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0037-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10037-PRO_CLM-2025-0037-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0037-PRO_SAFE_loss.pdf,0.0457,0,0,1.0,0.0,0.2091,Low,2.0
property,CLM-2025-0038,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0038-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10038-PRO_CLM-2025-0038-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0038-PRO_SAFE_loss.pdf,0.017,0,2,1.0,0.0,0.2434,Low,2.0
property,CLM-2025-0039,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0039-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10039-PRO_CLM-2025-0039-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0039-PRO_SAFE_loss.pdf,0.0165,0,0,1.0,0.0,0.2033,Low,2.0
property,CLM-2025-0040,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0040-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10040-PRO_CLM-2025-0040-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0040-PRO_SAFE_loss.pdf,0.012,0,2,1.0,0.0,0.2424,Low,2.0
property,CLM-2025-0041,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0041-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10041-PRO_CLM-2025-0041-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0041-PRO_SAFE_loss.pdf,0.038,0,0,1.0,0.0,0.2076,Low,2.0
property,CLM-2025-0042,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0042-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10042-PRO_CLM-2025-0042-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0042-PRO_SAFE_loss.pdf,0.0136,0,0,1.0,0.0,0.2027,Low,2.0
property,CLM-2025-0043,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0043-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10043-PRO_CLM-2025-0043-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0043-PRO_SAFE_loss.pdf,0.0,0,2,1.0,0.0,0.24,Low,2.0
property,CLM-2025-0044,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0044-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10044-PRO_CLM-2025-0044-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0044-PRO_SAFE_loss.pdf,0.0103,0,0,1.0,0.0,0.2021,Low,2.0
property,CLM-2025-0045,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0045-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10045-PRO_CLM-2025-0045-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0045-PRO_SAFE_loss.pdf,0.0202,0,2,1.0,0.0,0.244,Low,2.0
property,CLM-2025-0046,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0046-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10046-PRO_CLM-2025-0046-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0046-PRO_SAFE_loss.pdf,0.0283,0,1,1.0,0.0,0.2257,Low,2.0
property,CLM-2025-0047,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0047-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10047-PRO_CLM-2025-0047-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0047-PRO_SAFE_loss.pdf,0.0151,0,1,1.0,0.0,0.223,Low,2.0
property,CLM-2025-0048,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0048-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10048-PRO_CLM-2025-0048-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0048-PRO_SAFE_loss.pdf,0.0057,0,1,1.0,0.0,0.2211,Low,2.0
property,CLM-2025-0049,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0049-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10049-PRO_CLM-2025-0049-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0049-PRO_SAFE_loss.pdf,0.0104,0,1,1.0,0.0,0.2221,Low,2.0
property,CLM-2025-0050,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0050-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10050-PRO_CLM-2025-0050-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0050-PRO_SAFE_loss.pdf,0.0236,0,0,1.0,0.0,0.2047,Low,2.0
property,CLM-2025-0051,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0051-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10051-PRO_CLM-2025-0051-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0051-PRO_SAFE_loss.pdf,0.0366,0,1,1.0,0.0,0.2273,Low,2.0
property,CLM-2025-0052,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0052-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10052-PRO_CLM-2025-0052-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0052-PRO_SAFE_loss.pdf,0.0458,0,2,1.0,0.0,0.2492,Low,2.0
property,CLM-2025-0053,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0053-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10053-PRO_CLM-2025-0053-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0053-PRO_SAFE_loss.pdf,0.0495,0,0,1.0,0.0,0.2099,Low,2.0
property,CLM-2025-0054,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0054-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10054-PRO_CLM-2025-0054-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0054-PRO_SAFE_loss.pdf,0.0414,0,1,1.0,0.0,0.2283,Low,2.0
property,CLM-2025-0055,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0055-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10055-PRO_CLM-2025-0055-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0055-PRO_SAFE_loss.pdf,0.0234,0,1,1.0,0.0,0.2247,Low,2.0
property,CLM-2025-0056,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0056-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10056-PRO_CLM-2025-0056-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0056-PRO_SAFE_loss.pdf,0.0299,0,0,1.0,0.0,0.206,Low,2.0
property,CLM-2025-0057,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0057-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10057-PRO_CLM-2025-0057-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0057-PRO_SAFE_loss.pdf,0.0102,0,0,1.0,0.0,0.202,Low,2.0
property,CLM-2025-0058,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0058-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10058-PRO_CLM-2025-0058-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0058-PRO_SAFE_loss.pdf,0.036,0,0,1.0,0.0,0.2072,Low,2.0
property,CLM-2025-0059,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0059-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10059-PRO_CLM-2025-0059-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0059-PRO_SAFE_loss.pdf,0.0133,0,0,1.0,0.0,0.2027,Low,2.0
property,CLM-2025-0060,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0060-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10060-PRO_CLM-2025-0060-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0060-PRO_SAFE_loss.pdf,0.0286,0,2,1.0,0.0,0.2457,Low,2.0
property,CLM-2025-0061,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0061-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10061-PRO_CLM-2025-0061-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0061-PRO_SAFE_loss.pdf,0.0472,0,1,1.0,0.0,0.2294,Low,2.0
property,CLM-2025-0062,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0062-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10062-PRO_CLM-2025-0062-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0062-PRO_SAFE_loss.pdf,0.0111,0,0,1.0,0.0,0.2022,Low,2.0
property,CLM-2025-0063,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0063-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10063-PRO_CLM-2025-0063-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0063-PRO_SAFE_loss.pdf,0.0106,0,0,1.0,0.0,0.2021,Low,2.0
property,CLM-2025-0064,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0064-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10064-PRO_CLM-2025-0064-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0064-PRO_SAFE_loss.pdf,0.0427,0,1,1.0,0.0,0.2285,Low,2.0
property,CLM-2025-0065,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0065-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10065-PRO_CLM-2025-0065-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0065-PRO_SAFE_loss.pdf,0.0022,0,0,1.0,0.0,0.2004,Low,2.0
property,CLM-2025-0066,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0066-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10066-PRO_CLM-2025-0066-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0066-PRO_SAFE_loss.pdf,0.0432,0,2,1.0,0.0,0.2486,Low,2.0
property,CLM-2025-0067,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0067-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10067-PRO_CLM-2025-0067-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0067-PRO_SAFE_loss.pdf,0.0178,0,2,1.0,0.0,0.2436,Low,2.0
property,CLM-2025-0068,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0068-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10068-PRO_CLM-2025-0068-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0068-PRO_SAFE_loss.pdf,0.0232,0,0,1.0,0.0,0.2046,Low,2.0
property,CLM-2025-0069,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0069-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10069-PRO_CLM-2025-0069-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0069-PRO_SAFE_loss.pdf,0.0092,0,0,1.0,0.0,0.2018,Low,2.0
property,CLM-2025-0070,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0070-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10070-PRO_CLM-2025-0070-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0070-PRO_SAFE_loss.pdf,0.0252,0,1,1.0,0.0,0.225,Low,2.0
property,CLM-2025-0071,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0071-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10071-PRO_CLM-2025-0071-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0071-PRO_SAFE_loss.pdf,0.0202,0,2,1.0,0.0,0.244,Low,2.0
